,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (2.33) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia
1,Denmark,7.526,7.592,7.460,2.739390373,1.441784382,1.163744926,0.7950401306,0.5794125795,0.3617095649,0.4445321858,2.33
2,Switzerland,7.509,7.590,7.428,2.694632053,1.527334213,1.145236492,0.8630290627,0.5855717659,0.2808253467,0.4120327234,2.33
3,Iceland,7.501,7.669,7.333,2.831373215,1.426655412,1.183259368,0.8673328161,0.5662423372,0.4767839015,0.1497474164,2.33
4,Norway,7.498,7.575,7.421,2.664645195,1.577440143,1.126895666,0.795789361,0.596085906,0.3789480925,0.3577578962,2.33
5,Finland,7.413,7.475,7.351,2.825964928,1.40597868,1.134640336,0.8109139204,0.5710368156,0.2549190819,0.4100397825,2.33
6,Canada,7.404,7.473,7.335,2.704854488,1.440147758,1.096098185,0.8276035786,0.5737001896,0.4483413696,0.3132919967,2.33
7,Netherlands,7.339,7.394,7.284,2.707485199,1.46468389,1.02912271,0.8123089671,0.5521135926,0.4741576314,0.2992680669,2.33
8,New Zealand,7.334,7.404,7.264,2.475531578,1.360661983,1.172781706,0.8309572339,0.5814732909,0.4940109551,0.4190437794,2.33
9,Australia,7.313,7.385,7.241,2.546504498,1.444426179,1.104755282,0.8512034416,0.5683658719,0.4740689993,0.3233065605,2.33
10,Sweden,7.291,7.355,7.227,2.547340393,1.45181036,1.087640166,0.8312124014,0.5821848512,0.3825379014,0.4086659253,2.33
11,Israel,7.267,7.335,7.199,3.310285568,1.33766067,0.9953728318,0.8491719365,0.3643200099,0.3228764832,0.08727832884,2.33
12,Austria,7.119,7.193,7.045,2.69342804,1.450382471,1.083832502,0.8056452274,0.5435519218,0.3286470771,0.213483572,2.33
13,United States,7.104,7.188,7.020,2.727815151,1.507962227,1.047815084,0.7789978981,0.4816303849,0.4107684493,0.1486830562,2.33
14,Costa Rica,7.087,7.175,6.999,3.351676702,1.068794847,1.021524072,0.7614648342,0.5522507429,0.2255250663,0.1054651439,2.33
15,Puerto Rico,7.039,7.284,6.794,3.007603168,1.35943079,1.081130385,0.77758044,0.468232125,0.2220221758,0.1227526292,2.33
16,Germany,6.994,7.058,6.930,2.509305954,1.447866678,1.097738504,0.8148694634,0.5346622467,0.3045226634,0.2855077386,2.33
17,Brazil,6.952,7.029,6.875,3.507328749,1.08754158,1.039377689,0.6141526103,0.4042548239,0.1577630639,0.1416589469,2.33
18,Belgium,6.929,6.997,6.861,2.613553524,1.425390482,1.052487135,0.819593668,0.5135375857,0.2423993349,0.2624757886,2.33
19,Ireland,6.907,6.978,6.836,2.159881592,1.483413577,1.161568046,0.8145487309,0.5400843024,0.4496281445,0.29753685,2.33
20,Luxembourg,6.871,6.938,6.804,2.110549927,1.69752419,1.039993048,0.8454193473,0.5487023592,0.2757112384,0.3532930613,2.33
21,Mexico,6.778,6.876,6.680,3.559059143,1.115080833,0.7146037817,0.7114341855,0.3770864308,0.1173546165,0.1835472286,2.33
22,Singapore,6.739,6.804,6.674,1.993745804,1.645546436,0.8675758243,0.9471881986,0.4876993597,0.3270626366,0.4698693752,2.33
23,United Kingdom,6.725,6.803,6.647,2.149994373,1.402830243,1.086715817,0.8099051714,0.5003592372,0.5015631914,0.2739896178,2.33
24,Chile,6.705,6.795,6.615,2.955049753,1.216696262,0.9058710337,0.8188331723,0.3778933883,0.3159534633,0.1145077571,2.33
25,Panama,6.701,6.801,6.601,3.005592108,1.183057308,0.9891213179,0.7083465457,0.489274472,0.2418012917,0.08422975242,2.33
26,Argentina,6.650,6.740,6.560,3.129847288,1.15136528,1.06612432,0.6971127391,0.4228351116,0.1098892763,0.07296015322,2.33
27,Czech Republic,6.596,6.677,6.515,2.96211338,1.309153438,1.007931709,0.7637550831,0.4141770601,0.09928660095,0.0398555696,2.33
28,United Arab Emirates,6.573,6.652,6.494,2.215071678,1.573521495,0.8711368442,0.729932189,0.56214571,0.265909791,0.3556123972,2.33
29,Uruguay,6.545,6.634,6.456,2.671386957,1.181572676,1.031425357,0.7218269706,0.5438767076,0.1805562228,0.2139369994,2.33
