Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Ladder score in Dystopia
1,Finland,7.808700085,7.869766235,7.747633934,2.762835026,1.285189509,1.499525905,0.9612714052,0.6623167396,0.1596704423,0.4778572619,1.972316742
2,Denmark,7.645599842,7.711244583,7.579955101,2.432740688,1.326948524,1.503449202,0.9793325663,0.665039897,0.2427933961,0.4952603281,1.972316742
3,Switzerland,7.559899807,7.628527641,7.491271973,2.35026741,1.39077425,1.472403407,1.040533185,0.6289544702,0.2690557539,0.4079459012,1.972316742
4,Iceland,7.504499912,7.621346951,7.387652874,2.460688114,1.326501608,1.547567487,1.000843406,0.6619807482,0.3623302281,0.1445407718,1.972316742
5,Norway,7.487999916,7.55628109,7.419718742,2.168266296,1.42420733,1.495172501,1.008071899,0.6702008843,0.2879850864,0.4341005683,1.972316742
6,Netherlands,7.448900223,7.503372192,7.394428253,2.352117062,1.338946342,1.463645935,0.9756753445,0.6136264801,0.336317569,0.3685697615,1.972316742
7,Sweden,7.353499889,7.424519062,7.282480717,2.246299267,1.322235227,1.433347702,0.9864704609,0.6502977014,0.2728278935,0.4420663714,1.972316742
8,New Zealand,7.299600124,7.376952648,7.222247601,2.128108025,1.242317915,1.48721838,1.008138299,0.6467899084,0.3257262111,0.461268276,1.972316742
9,Austria,7.294199944,7.359595776,7.228804111,2.398446083,1.317285538,1.437444925,1.000933528,0.6033688784,0.255509764,0.2812561393,1.972316742
10,Luxembourg,7.237500191,7.297969818,7.177030563,2.153700352,1.536676049,1.387528419,0.9864426851,0.6101370454,0.1959539205,0.3670414686,1.972316742
11,Canada,7.23210001,7.311294556,7.152905464,2.195269108,1.301647663,1.435391903,1.022501945,0.6440281272,0.2815289199,0.3517018557,1.972316742
12,Australia,7.222799778,7.30480814,7.140791416,2.129804134,1.310396433,1.477146268,1.022607684,0.6218771935,0.324973613,0.3359964192,1.972316742
13,United Kingdom,7.164500237,7.237337589,7.091662884,2.236721992,1.273061037,1.457844973,0.9757000804,0.5251686573,0.3734334409,0.3226016462,1.972316742
14,Israel,7.128600121,7.211929798,7.045270443,2.713358402,1.216463685,1.403256774,1.008052945,0.4206994772,0.2668617964,0.09989845008,1.972316742
15,Costa Rica,7.121399879,7.209239483,7.033560276,2.953135014,0.9811077118,1.374853611,0.9396353364,0.6450177431,0.1312663108,0.0963620916,1.972316742
16,Ireland,7.093699932,7.171832085,7.01556778,1.943878174,1.446886778,1.470596433,0.9756706953,0.5877799392,0.2954269946,0.3734332621,1.972316742
17,Germany,7.075799942,7.145595074,7.00600481,2.295249462,1.314184546,1.368543744,0.9721148014,0.5642741323,0.252037704,0.3093622923,1.972316742
18,United States,6.939599991,7.032339573,6.846860409,2.344124794,1.37398684,1.404786706,0.831618011,0.5346082449,0.298143059,0.1522847414,1.972316742
19,Czech Republic,6.910900116,6.994966984,6.826833248,2.796808243,1.212322354,1.40528667,0.8945644498,0.5057445765,0.04632592946,0.04980322346,1.972316742
20,Belgium,6.863500118,6.930866241,6.796133995,2.348626614,1.295842767,1.398677588,0.9649011493,0.4998054206,0.1469661593,0.2087240517,1.972316742
21,United Arab Emirates,6.790800095,6.870568752,6.711031437,2.166965961,1.431086421,1.251170993,0.7878144383,0.652936101,0.2806559801,0.2202135175,1.972316742
22,Malta,6.772799969,6.856997967,6.688601971,1.952012062,1.252513289,1.442956924,0.9720420241,0.6332390308,0.3411808312,0.1788640767,1.972316742
23,France,6.663799763,6.737450123,6.590149403,2.053198338,1.268129349,1.458839178,1.029714227,0.5140509009,0.1126077026,0.2273032367,1.972316742
24,Mexico,6.465000153,6.559319973,6.370680332,2.662540197,1.024387479,1.226333499,0.8316010237,0.5538925529,0.0830944851,0.08313366771,1.972316742
25,Taiwan Province of China,6.45539999,6.532113552,6.378686428,2.160238743,1.327470541,1.357760668,0.8784379959,0.4494043887,0.1505987048,0.1315163523,1.972316742
26,Uruguay,6.440100193,6.529121399,6.351078987,2.167276382,1.071000457,1.425081134,0.856928885,0.5942670703,0.1321436912,0.1934250742,1.972316742
27,Saudi Arabia,6.406499863,6.517305851,6.295693874,2.203118801,1.334328532,1.309950113,0.7598181367,0.5484774709,0.08744068444,0.1633223146,1.972316742
28,Spain,6.400899887,6.483808517,6.317991257,1.997088432,1.230535269,1.421099186,1.051343083,0.4259838164,0.1653054804,0.1095797792,1.972316742
29,Guatemala,6.398900032,6.5133605,6.284439564,2.882723093,0.7538157105,1.174267054,0.7059525847,0.6131467223,0.1706116647,0.09836030006,1.972316742
30,Italy,6.38740015,6.47224474,6.302555561,2.249505997,1.236396074,1.347296,1.022504926,0.321305573,0.170266211,0.04014559835,1.972316742
31,Singapore,6.377099991,6.442287445,6.311912537,0.9370317459,1.519580126,1.39545691,1.137814283,0.6353172064,0.2187709063,0.5331622362,1.972316742
32,Brazil,6.375599861,6.455549717,6.295650005,2.571860313,0.9526798725,1.363464117,0.7661190629,0.4832927287,0.1316745877,0.1065186039,1.972316742
33,Slovenia,6.363399982,6.449328899,6.277471066,1.888586521,1.208652496,1.464677691,0.9325480461,0.6467001438,0.1457014978,0.07651632279,1.972316742
34,El Salvador,6.34829998,6.462466717,6.234133244,2.937191725,0.7489404082,1.149397612,0.7527300119,0.5240439177,0.1189363003,0.1170303524,1.972316742
35,Kosovo,6.325200081,6.427544117,6.222856045,2.736902714,0.8404813409,1.183962822,0.672709167,0.5572804213,0.3252868652,0.008559023961,1.972316742
36,Panama,6.304800034,6.421860695,6.187739372,2.221176147,1.097667813,1.376149297,0.878546536,0.5798497796,0.09720730782,0.05423052609,1.972316742
37,Slovakia,6.280600071,6.35683918,6.204360962,2.256422043,1.194837689,1.424331188,0.8534652591,0.4235425293,0.1167297736,0.01129144058,1.972316742
38,Uzbekistan,6.257599831,6.36388588,6.151313782,2.073346615,0.6966529489,1.434020042,0.7167037129,0.6932703257,0.3633110225,0.2802602649,1.972316742
39,Chile,6.228499889,6.318118572,6.138881207,2.283012867,1.096992493,1.323286891,0.8892608285,0.4174822271,0.1555790007,0.06284935027,1.972316742
40,Bahrain,6.227300167,6.387789249,6.066811085,1.751917362,1.296692252,1.31532371,0.8388363719,0.6103999019,0.287453711,0.1266972572,1.972316742
41,Lithuania,6.215499878,6.302118301,6.128881454,2.238146067,1.193559647,1.432865739,0.7954211831,0.4204607904,0.05369104072,0.08135027438,1.972316742
42,Trinidad and Tobago,6.191899776,6.416218758,5.967580795,2.190695763,1.167641521,1.407326221,0.6588285565,0.5529311299,0.1993582547,0.01507839561,1.972316742
43,Poland,6.186299801,6.255880356,6.116719246,2.056797981,1.16922915,1.310399771,0.8680384755,0.5579035282,0.06337424368,0.1605412513,1.972316742
44,Colombia,6.163400173,6.274102688,6.052697659,2.421656609,0.9322037101,1.33445096,0.8100201488,0.5268900394,0.09237409383,0.0458483696,1.972316742
45,Cyprus,6.15899992,6.258187771,6.059812069,2.032334805,1.21279943,1.149170756,1.026124597,0.4593858719,0.2279323339,0.05120714381,1.972316742
46,Nicaragua,6.13710022,6.262318611,6.011881828,2.496081114,0.620033145,1.27081275,0.8030932546,0.5601173043,0.212871477,0.174084574,1.972316742
47,Romania,6.123700142,6.216668129,6.030732155,2.412749767,1.120401621,1.1944381,0.7922948599,0.5348523259,0.06818161905,0.0008295688313,1.972316742
48,Kuwait,6.102099895,6.206563473,5.997636318,1.840167999,1.424833655,1.244779825,0.7764689326,0.5702614188,0.1327510923,0.1128149331,1.972316742
49,Mauritius,6.101299763,6.213463783,5.989135742,2.006720543,1.07366395,1.395666838,0.7633894086,0.5908381343,0.1868945509,0.08408822864,1.972316742
50,Kazakhstan,6.057899952,6.1426301,5.973169804,2.021602631,1.122594237,1.453267694,0.6987889409,0.4974321425,0.1537137926,0.1104636863,1.972316742
51,Estonia,6.021800041,6.092330933,5.95126915,1.629928112,1.192441225,1.453232527,0.8426150084,0.5766648054,0.125136748,0.2017668188,1.972316742
