Run #;Collection Sort;Merge Sort;Quick Sort
0;20216164;20074008;24496436
1;17634412;22047088;20755812
2;15894992;21409708;20688612
3;18030644;21026236;22988828
4;16696544;21651656;23795052
5;16081576;25513144;25112272
6;17627024;15833772;26771352
7;17030456;15036384;19864852
8;17732108;19218148;13951760
9;17996920;17873864;16805376
Run #;Collection Sort;Merge Sort;Quick Sort
0;19775520;21564524;22791604
1;17239516;19577384;22275400
2;18834044;20356948;20206976
3;19335308;17714040;19595560
4;15828080;21637072;19628404
5;16551112;19387188;19956416
6;15765508;15023828;15707348
7;15602540;18970268;17878704
8;15395992;14835564;17643424
9;16170160;19812580;10430704
10;18004704;16156072;10335284
11;15684460;15661552;10647404
12;16560652;16181800;10391128
13;15782584;15434652;10370328
14;16228560;15648872;10970408
15;16052136;15956756;11359052
16;16187240;15806068;10445224
17;15682972;16511012;11390760
18;16325384;16624484;10336192
19;15843444;15533692;10757856
20;16007896;15552884;10415688
21;16045152;16469876;11614632
22;15768376;16289976;10699836
23;16514680;17336576;11379932
24;16482996;18558852;11680760
25;16298984;16227932;10625360
26;15934432;18005984;12013412
27;17195440;16607612;10548336
28;15986996;16438112;10924568
29;16284784;15652840;10483988
30;15879768;16331456;11117240
31;16418864;16207840;10440952
32;17779020;16945016;10576084
33;16406852;15848508;10855152
34;16766836;16019304;10558788
35;16747368;16161740;11562640
36;16499840;16200280;10546848
37;16326236;16185336;10866824
38;17364412;17156196;10949884
39;17083272;17546956;11887056
40;16388920;18073780;11310388
41;19521760;19013320;10980676
42;17379544;17596124;12023464
43;17617760;16399212;10598312
44;16827784;16686132;10603592
45;16416620;16187204;10897340
46;16526332;17959016;10973104
47;17146356;16749616;11111748
48;17379884;16517864;10498052
49;17294196;16447628;11070908
50;18403968;16568048;10694592
51;17464400;17505780;10709556
52;16801048;16528860;10745892
53;16825360;16827700;10866940
54;16487528;16453200;11392380
55;16594864;16891484;11290176
56;17372460;16391504;11412184
57;16497584;16103764;10748800
58;16406884;16485776;12271548
59;16401116;16238792;10754264
60;17021728;17466936;11317996
61;16509204;16524968;11016204
62;16812884;16613696;11230332
63;16609140;16512340;11462776
64;16718472;16702928;10871336
65;16500628;16231372;10730008
66;16678192;17125004;11321496
67;16386904;16591808;10873852
68;16822756;17034752;10783340
69;16739752;16773472;10907184
70;17026680;17090200;10847180
71;16407024;16416016;11050920
72;16478432;16696900;10842816
73;16746488;16361488;11070332
74;17262588;16618628;10991864
75;17493732;16429848;11466116
76;17229296;16749164;11918952
77;16453868;16966508;10977268
78;16684228;16983968;10842316
79;17334484;16329488;10932684
80;16634012;16578528;11006852
81;17983448;16817056;11269868
82;17407400;16926240;11011808
83;17568172;17601036;10926492
84;17943948;17929244;11544876
85;16788872;16528940;11029060
86;17043648;16654000;12311360
87;16422092;16511580;11023168
88;17080184;16904640;10941132
89;18204720;16969956;10947028
90;16849968;17513116;13015340
91;17965636;18696240;11289768
92;17030472;18387584;11217372
93;18682332;16739712;11250888
94;18446444;17452924;10882340
95;18593264;17993556;12566616
96;18649336;18371488;12749336
97;17962836;16801820;11547820
98;16979692;17413284;11408764
99;16679964;17049048;12744376
100;17570352;17277624;11048388
101;18521952;18146756;11111604
102;16937192;16750900;11001496
103;16801336;16917828;10928796
104;17411760;17584352;11302636
105;17048580;16665288;11086584
106;18301168;18114028;11056528
107;17392084;17175776;11305796
108;17452200;17449624;11227700
109;16782408;16790880;11953288
110;16961868;16841884;11988240
111;17554116;16862672;11774864
112;17810100;17288016;11118424
113;17367424;18378376;11311076
114;17007504;17118360;11342940
115;17018120;16932376;11008316
116;16644596;16863416;11035292
117;17146904;16726568;11164684
118;18872192;17224940;11196396
119;17097200;17396900;11386196
120;16758076;16619712;11381600
121;17632180;16663104;11896948
122;17156820;16703760;11161368
123;17482648;16970536;11449252
124;16876984;18038332;12100608
125;17679700;18362868;12082820
126;18151044;17779980;11597200
127;17940464;17288932;13065052
128;20080664;17649480;11659404
129;18118364;17673764;11361056
130;17906896;17463392;11741588
131;19501632;19586068;12960772
132;17463060;17302700;11804800
133;18511344;17287844;11091472
134;16931436;18197540;11322788
135;17362100;17104104;12136388
136;17880372;17634744;11352928
137;18202488;17241492;11463496
138;17192656;18003296;11888484
139;18719716;18784608;11693108
140;17972376;20082780;13574048
141;18140572;21066020;13265772
142;18871656;17385776;12248792
143;20396584;18857808;12890284
144;18153296;18700812;11453756
145;18380480;19215944;12540324
146;18112404;19025476;11888336
147;18127480;19269320;13961544
148;17022836;17787516;11862332
149;17068468;19340892;12574360
150;17603904;18887284;12992624
151;19798336;17856332;13488920
152;17476416;20015056;13301484
153;18286884;17475376;12005200
154;19307480;18672020;11492760
155;17164508;18874740;11835340
156;19040736;18945964;13252632
157;19590772;17158384;12382400
158;18361196;17893672;12851260
159;18422328;17906056;12131060
160;18273412;19168196;11417580
161;17824208;18700392;12315728
162;18086308;19567356;13424908
163;20190152;18416156;13434492
164;17910852;18844336;12545808
165;18802004;19185244;11761348
166;18952856;18405748;12737168
167;18719000;19045812;12560368
168;18552104;17421288;12602824
169;18584668;17773536;12219652
170;19133228;18997804;12734628
171;18041960;17626364;12462144
172;18535612;17653860;12746720
173;18279920;18834604;12377940
174;18931500;18116412;12339016
175;20067144;17598120;12026388
176;18777128;18814568;12804796
177;17469420;17594688;13457768
178;18258300;17780384;11472132
179;18510416;17073532;11351648
180;18301148;18386268;12347148
181;19100532;18197700;12235524
182;17485000;18034896;11775804
183;17315564;17326652;11523652
184;20153700;21275248;12837688
185;19788824;18700884;12613664
186;18312544;19243276;11966664
187;17215948;17146064;13148132
188;18429848;19068024;11740456
189;18353792;19319044;11504252
190;19196520;18458096;11800648
191;18259924;17199460;11570876
192;18665896;18917232;11847376
193;17574084;18759176;11591132
194;18092472;18085988;12611832
195;18385312;17263360;12902544
196;18445412;17088112;11633436
197;17683480;17530640;11417596
198;18081408;17569292;12043392
199;18065932;18113624;12321176
200;17480140;18090640;11886200
201;19193756;17804504;11456936
202;18421652;18057844;11861516
203;18310132;18453204;11234232
204;18511888;17607260;12222312
205;18238480;17464792;12713676
206;18221084;17724792;11721400
207;17922024;17093324;11425004
208;17219200;18182664;11344272
209;17020392;17084680;11482420
210;18532848;19262556;11396116
211;17726896;19719104;11405564
212;17873432;17270300;11269432
213;17895664;18408176;13154596
214;19335228;20356116;11867312
215;18695380;17394080;11472416
216;17112980;17549164;11510128
217;17709384;17871728;12211484
218;17035348;18764156;13199172
219;17186572;17063984;11949560
220;17166436;17229328;12033004
221;17262464;18653244;11722684
222;17406216;18697900;12507928
223;17802116;17223136;11466280
224;17977408;17135224;11902688
225;18444676;18125028;11909148
226;17989444;18020596;11230920
227;18831512;18062780;11625860
228;18180024;18109156;11492380
229;17063008;18068556;12412720
230;19058796;17824616;11437744
231;17394576;17954760;13167336
232;18362584;17980496;11430624
233;18880972;17917872;11392960
234;18291788;17684876;12281580
235;17708324;17527256;11905924
236;19102000;18565484;11236648
237;18948636;17705456;13802624
238;18378884;18787564;11426444
239;18914520;18057592;12601944
240;17969908;17335792;11567736
241;18377004;17168348;11542932
242;17218256;19659768;11803956
243;18620524;18844684;11382612
244;18072036;17750168;12420236
245;17205132;17131396;11501240
246;18046148;18045180;12550220
247;17152588;20124024;12403708
248;18003440;17533856;12303360
249;19003620;18262428;12327620
250;17326036;17345520;12458068
251;18210332;17175096;12641076
252;17220252;17629100;11318976
253;21101596;19725208;11743684
254;17729764;18276460;11519860
255;18999508;17375900;11350380
256;17684188;17603608;11495888
257;18091760;18080412;12985932
258;17641996;17316648;11598436
259;18691160;19197268;12087336
260;17873616;18188532;11710496
261;18899320;17473256;11632824
262;18505036;17230760;11812260
263;19092440;17079760;11552732
264;17286308;18106484;11369064
265;18141280;17131700;11497192
266;17334276;18044900;11889692
267;19314496;18087020;12742384
268;18048228;20020792;12367532
269;18150084;18450416;11256616
270;17314928;17223540;11684356
271;18085696;18096068;11472172
272;18601764;19247520;13628156
273;19358196;20833948;11934088
274;19569176;17367672;11486672
275;17422872;17278896;12371932
276;18173052;17183648;11533424
277;18214144;18121264;11994108
278;17709840;28939144;13657756
279;18362336;20403448;20105392
280;18989812;17785252;11403640
281;17724344;17455512;12183484
282;18965488;19884040;13823692
283;18774792;20849152;13328200
284;19322112;18434948;12635656
285;20739200;20396296;13280416
286;21670108;18127964;14823388
287;18803540;18806672;11720452
288;19414172;19842312;15666784
289;21129748;20431992;11979036
290;18338864;18175564;12036732
291;22881684;28825340;14517248
292;22513700;24117468;28060392
293;43161236;48016420;18245160
294;19601488;19488932;12308356
295;18138940;18928076;14237204
296;20378392;18916696;13626984
297;19271072;19096012;16253804
298;18189196;20652432;13202872
299;20757764;20767900;13065144
300;18679484;20243708;12822136
301;20322592;19297472;12471876
302;18746952;23906804;14158116
303;18789916;18195264;12172308
304;19001812;19030212;15928620
305;22594116;20067028;15131644
306;19161700;19191480;12935216
307;18760436;19645040;13118372
308;22312328;20412720;13969984
309;38581804;22298152;18405028
310;31298624;26107648;19929756
311;22370868;20731372;13838668
312;18720008;19100012;12964672
313;21338720;20633376;12390460
314;18330868;23784388;13954256
315;19477076;18147004;12245740
316;20503468;18851212;12476700
317;18390512;19172424;12053896
318;18117260;20804148;13334188
319;19290784;18294892;12131632
320;18392512;20566524;13160756
321;18266444;19594968;12085024
322;19538388;18033908;12878468
323;19700708;19145452;12788208
324;20003700;19412972;12658820
325;19748992;19852192;12571872
326;19722384;20086308;11870272
327;19387084;18139816;14171608
328;17849548;19128756;12470224
329;18922120;17775680;13417520
330;19887628;19112580;13162668
331;18547404;17839928;13364724
332;20263568;17676804;12917344
333;19900100;17780852;12607168
334;18180896;18303888;11761260
335;19066932;18632496;11902624
336;18859768;18933968;12433532
337;19738028;20138596;12590444
338;17822288;19209164;11793796
339;17705516;19530012;13511616
340;17773924;18022148;11761808
341;17805080;18007024;12411688
342;20909936;18646392;11601572
343;18562272;17808128;12667560
344;18991664;19520332;12714516
345;18262784;17529752;11941436
346;19850452;19745168;13093888
347;17680540;17645268;12782552
348;17674332;18050080;12145064
349;18120112;17646336;13687576
350;18048280;20984624;11614024
351;20932532;18256624;12124540
352;17648372;19196880;12491112
353;18667836;19912056;12728752
354;19344704;19765828;12856264
355;18899580;18850292;12191104
356;19548312;18037528;11689564
357;18003956;17707672;12351496
358;18805716;18281200;12509716
359;18824596;19251348;12397272
360;19112372;19007376;12359704
361;19380516;20964696;13907332
362;18147632;17683380;12128732
363;19748820;19503240;11903932
364;19190148;17498352;11692576
365;18920520;17536144;12355976
366;19925116;18455956;11934668
367;17341184;18502172;12453316
368;19289080;17470768;11570984
369;17688636;18632300;12997832
370;18780384;18467036;12781476
371;17522568;19212572;13286604
372;19263968;18304248;11770196
373;19827888;17959632;13385536
374;18431636;19153184;12025076
375;17719660;18797260;11865140
376;18137832;17702116;11655744
377;19730068;17620828;11693844
378;18308632;19674872;12783276
379;20161016;18071132;11748100
380;18866140;19765636;12710608
381;20016392;17605708;11821072
382;18881852;18489068;12496132
383;17532780;17820684;11891404
384;18117268;17853496;11828688
385;18153160;17710188;11800248
386;21085324;17338968;12205572
387;18502108;17597420;13085696
388;19960212;18014860;11917992
389;17971336;17728632;11759400
390;18097476;17926848;11930484
391;17705508;17627192;12065208
392;20330940;17581160;12087100
393;17618156;17604128;11944996
394;18873456;18046900;11678840
395;18334308;17952700;12835992
396;18064824;18558396;11815816
397;18371160;18007300;11912844
398;17721872;18258984;11711012
399;18784248;18545316;11635528
400;18781276;17831724;13510936
401;18679816;17554884;13490716
402;18631744;18572764;12667140
403;18039784;17662664;11878308
404;17567276;17517212;12069108
405;18068116;19802544;11606712
406;18257980;19287900;12519152
407;17996832;17722632;13083668
408;18636096;17500384;11702020
409;20945244;18785416;13775268
410;17450304;19000332;11514828
411;18226556;18144524;12223560
412;18330700;17777848;11790616
413;17834712;17382860;11730064
414;18770720;19897972;11791992
415;18698156;18210852;11812092
416;17567096;20374572;13099912
417;18916464;17712940;11665428
418;17824912;17510744;11693056
419;19115528;19155020;12684644
420;19478132;20280380;13620576
421;19380016;19507520;13704984
422;19799412;18273468;12284152
423;18289640;18834816;11443228
424;18845768;18577036;12499780
425;18102748;17852068;11750744
426;18110476;18345780;11795488
427;17828996;18635388;12275080
428;17681152;18704132;12897012
429;18166216;19358148;13979312
430;19368224;18282148;11995372
431;17784912;18950336;12621360
432;17976332;19141412;12742432
433;18557500;19507912;11698456
434;18338264;18729008;12585284
435;19336476;18475484;12243852
436;18023636;17524080;12649588
437;17620736;17989196;11828660
438;18137120;17684172;11795704
439;18338636;18697188;12618336
440;19495160;20046288;13571004
441;19635176;17837444;11955676
442;20015720;19913624;12376232
443;18022628;18188472;11739968
444;17743508;18805044;11850872
445;17835648;17778280;11978192
446;18296656;18594192;13755840
447;19347804;18409944;12493220
448;17958260;17900480;11816428
449;18888440;19067848;12206320
450;18115828;18128420;12094696
451;18639972;19448552;12035560
452;17881292;18017628;12126064
453;18057648;17558708;12038280
454;18395316;19544600;11777388
455;17556584;17687960;12276380
456;20366428;18216208;11935752
457;18652240;17572656;12530004
458;17760968;18073732;11772928
459;17644788;18266972;12132560
460;17976104;17838092;12147204
461;18191880;17711144;11764412
462;18105852;19649296;11691864
463;19031024;19562740;11720068
464;18042488;17595796;11762200
465;19950996;20408144;13683420
466;17992756;20437080;13578140
467;19812572;18882820;12899084
468;18088908;18637224;12697232
469;19116004;19762408;12117648
470;18535092;18529144;12162688
471;18940376;19051156;12823160
472;19210568;17875036;11919144
473;18044364;19352280;11839728
474;20178064;19554016;13096576
475;17718616;19340880;13953896
476;17880580;17941632;11973608
477;18499124;19840400;11876468
478;18489392;18806876;12198648
479;18709684;18914588;13381560
480;19260932;18065344;12371448
481;18230692;17844912;11721032
482;18398140;18484604;11937012
483;18761404;20591576;12827612
484;17849276;17858740;12264456
485;17666752;20208580;11786132
486;20275072;19624584;13813096
487;19239612;17717936;11672968
488;18270620;20600080;13810000
489;19862684;17544656;11623652
490;17764920;19993164;12578292
491;17757924;18033424;12091012
492;27310708;20270528;13361832
493;18686144;18884760;12796452
494;18328388;17814252;11693660
495;18000124;19859964;12327372
496;20401580;18284820;11642048
497;17702528;20418784;12233548
498;17763092;17834924;11943048
499;17551644;18409336;12843388
500;18453084;20776896;13625832
501;20299172;17779712;12663280
502;17688080;18802352;11613692
503;18210616;18667772;14027372
504;18125464;20446440;12760552
505;20446920;19511684;12048800
506;21192272;18646696;11933876
507;19117232;20196792;14260768
508;18302420;18210760;11642644
509;18438232;18195444;11875900
510;19759864;18526320;13374872
511;20654800;18738396;13217780
512;20620440;19291492;13096092
513;19358636;20151804;12117192
514;19215896;18361316;14401776
515;19032468;19396596;12692964
516;19481316;17893524;12296828
517;17749512;17981076;13446448
518;20965180;21012340;14330360
519;18416032;17651060;11869608
520;19517492;18589720;13648144
521;18140936;18755200;11793768
522;17777880;17797036;11961696
523;18120708;18833156;11775024
524;20328856;20166888;12687708
525;19406304;19606952;14107948
526;20510672;17532004;11801968
527;18236160;19755784;13812584
528;17574488;17809376;11869612
529;17838412;18095680;12141676
530;18530136;19248828;12492044
531;18183588;17812964;13170028
532;18510252;18168672;12472804
533;20138388;18732196;13055104
534;19650340;17837560;12625164
535;19397560;19723032;11864340
536;18875268;17851108;11989480
537;18182360;18223460;11604820
538;17673092;19331692;11975100
539;18067368;17542696;11633808
540;19080960;21101704;11954068
541;18456736;18816324;12523236
542;19499936;18241916;11809172
543;20706180;19658352;13900944
544;19796340;18689232;12843408
545;18810720;18714144;12246992
546;20257924;17525224;11630544
547;17645728;18067056;11922204
548;18887100;17728176;11834452
549;17689728;18115420;12058000
550;17821028;17830428;11859508
551;17635312;18875652;12092180
552;17590748;18336504;13287740
553;17586620;18181708;14222644
554;19794660;17806188;12901264
555;18510744;17635376;12393380
556;17659276;17816576;12367816
557;18497464;17604028;11990728
558;18722652;17628968;11804804
559;20024116;19735016;12252824
560;19241332;18073240;13038860
561;18620124;18370612;12798656
562;20235972;19215696;12124924
563;18781468;18663592;14127796
564;18590316;19340512;11771468
565;17607436;18252760;12921436
566;19709464;17812020;11782352
567;18953220;17848400;12455576
568;17732196;17605848;12825612
569;17655876;19413580;12005600
570;17712460;18269840;11739288
571;18692808;18987032;14288656
572;18845500;18518924;11847920
573;17900556;18047588;12034140
574;17655184;18854308;12739944
575;18325824;19100936;12359400
576;18199960;18084132;11706412
577;18032708;17629288;12203264
578;18917572;17685908;12193488
579;18343328;18943080;12021700
580;17796924;17685648;12566340
581;19155092;17648264;12676896
582;17739516;18016584;12702468
583;18890372;18034020;11756600
584;17839672;20779340;12397992
585;17639984;18572200;11885680
586;18009744;18079300;11619736
587;18423652;17781580;11807152
588;17790904;19018512;12637608
589;18152992;17792332;11727324
590;18791068;18738700;11939904
591;20015852;17958464;11717312
592;19267652;19018824;11737872
593;17822100;19039796;13044960
594;17719888;17665360;11902364
595;17820436;17680972;12130672
596;17878644;18847112;11776384
597;19170680;18781804;11759300
598;17876364;18199172;12698116
599;19224072;18319300;11671808
600;17682908;17760808;12500308
601;18987288;18211420;11602324
602;18238100;17614024;11973500
603;17904360;18884660;11827328
604;18606164;18161300;13250836
605;17645376;19351016;11635844
606;18156044;18644356;12994080
607;19213276;18404680;13065184
608;17807324;21143968;12471808
609;18897052;19587084;12792568
610;21002572;19907900;13619392
611;19597484;18756108;12016264
612;18538592;18095448;12127940
